"DateTime";"DUQUE DE CAXIAS - XEREM"
"2021-05-14 19:00:00";160
"2021-05-14 20:00:00";123
"2021-05-14 21:00:00";117
"2021-05-14 22:00:00";290
"2021-05-14 23:00:00";102
"2021-05-15 00:00:00";121
"2021-05-15 01:00:00";124
"2021-05-15 02:00:00";115
"2021-05-15 03:00:00";117
"2021-05-15 04:00:00";122
"2021-05-15 05:00:00";117
"2021-05-15 06:00:00";123
"2021-05-15 07:00:00";50
"2021-05-15 08:00:00";99
"2021-05-15 09:00:00";127
"2021-05-15 10:00:00";116
"2021-05-15 11:00:00";116
"2021-05-15 12:00:00";47
"2021-05-15 13:00:00";318
"2021-05-15 14:00:00";282
"2021-05-15 15:00:00";253
"2021-05-15 16:00:00";250
"2021-05-15 17:00:00";248
"2021-05-15 18:00:00";31
"2021-05-15 19:00:00";348
"2021-05-15 20:00:00";69
"2021-05-15 21:00:00";274
"2021-05-15 22:00:00";108
"2021-05-15 23:00:00";144
"2021-05-16 00:00:00";157
"2021-05-16 01:00:00";129
"2021-05-16 02:00:00";103
"2021-05-16 03:00:00";135
"2021-05-16 04:00:00";135
"2021-05-16 05:00:00";124
"2021-05-16 06:00:00";121
"2021-05-16 07:00:00";156
"2021-05-16 08:00:00";343
"2021-05-16 09:00:00";226
"2021-05-16 10:00:00";336
"2021-05-16 11:00:00";319
"2021-05-16 12:00:00";318
"2021-05-16 13:00:00";226
"2021-05-16 14:00:00";220
"2021-05-16 15:00:00";305
"2021-05-16 16:00:00";267
"2021-05-16 17:00:00";179
"2021-05-16 18:00:00";16
"2021-05-16 19:00:00";161
"2021-05-16 20:00:00";80
"2021-05-16 21:00:00";357
"2021-05-16 22:00:00";122
"2021-05-16 23:00:00";22
"2021-05-17 00:00:00";6
"2021-05-17 01:00:00";29
"2021-05-17 02:00:00";346
"2021-05-17 03:00:00";84
"2021-05-17 04:00:00";230
"2021-05-17 05:00:00";150
"2021-05-17 06:00:00";132
"2021-05-17 07:00:00";147
"2021-05-17 08:00:00";124
"2021-05-17 09:00:00";134
"2021-05-17 10:00:00";110
"2021-05-17 11:00:00";272
"2021-05-17 12:00:00";66
"2021-05-17 13:00:00";286
"2021-05-17 14:00:00";293
"2021-05-17 15:00:00";269
"2021-05-17 16:00:00";352
"2021-05-17 17:00:00";254
"2021-05-17 18:00:00";235
"2021-05-17 19:00:00";129
"2021-05-17 20:00:00";44
"2021-05-17 21:00:00";21
"2021-05-17 22:00:00";323
"2021-05-17 23:00:00";233
"2021-05-18 00:00:00";6
"2021-05-18 01:00:00";130
"2021-05-18 02:00:00";12
"2021-05-18 03:00:00";49
"2021-05-18 04:00:00";135
"2021-05-18 05:00:00";130
"2021-05-18 06:00:00";162
"2021-05-18 07:00:00";151
"2021-05-18 08:00:00";106
"2021-05-18 09:00:00";158
"2021-05-18 10:00:00";89
"2021-05-18 11:00:00";91
"2021-05-18 12:00:00";351
"2021-05-18 13:00:00";12
"2021-05-18 14:00:00";274
"2021-05-18 15:00:00";222
"2021-05-18 16:00:00";215
"2021-05-18 17:00:00";170
"2021-05-18 18:00:00";148
"2021-05-18 19:00:00";204
"2021-05-18 20:00:00";33
"2021-05-18 21:00:00";55
"2021-05-18 22:00:00";32
"2021-05-18 23:00:00";39
"2021-05-19 00:00:00";57
"2021-05-19 01:00:00";98
"2021-05-19 02:00:00";11
"2021-05-19 03:00:00";21
"2021-05-19 04:00:00";4
"2021-05-19 05:00:00";112
